entity_name,purchase_count_12mo,example_property,example_price,example_sale_date,mailing_address,mailing_city_state_zip,sunbiz_search_url
4920 NW 192 ST LLC,2,"17101 NW 29 PL, 33056",340000,2026-03-06,20082 NW 43 CT,"MIAMI, FL 33055",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=4920%20NW%20192%20ST%20LLC
5420 OCEAN DR INVESTMENTS LLC,2,"11820 SW 223 ST, 33170",300000,2025-12-15,19065 SW 128 CT,"MIAMI, FL 33177",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=5420%20OCEAN%20DR%20INVESTMENTS%20LLC
70 SW 18 TER LLC,2,"1920 SW 13 ST, 33145",700000,2026-02-19,15387 SW 38 ST,"DAVIE, FL 33331",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=70%20SW%2018%20TER%20LLC
A1 INVERSIONES INMOBILIARIAS LLC,2,"378 SW 6 ST, 33034",316500,2026-02-06,378 SW 6 ST,"FLORIDA CITY, FL 33034",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=A1%20INVERSIONES%20INMOBILIARIAS%20LLC
AGROPECUARIA LA FRONTERA LLC,2,"8108 NW 48 TER, 33166",1500000,2026-02-26,6912 NW 52 ST,"DORAL, FL 33166",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=AGROPECUARIA%20LA%20FRONTERA%20LLC
ALIGNMENT NMB REALTY LLC,2,"850 NE 172 TER, 33162",613000,2026-05-28,1041 NE 166 ST,"MIAMI, FL 33162",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ALIGNMENT%20NMB%20REALTY%20LLC
APH SERVICES USA LLC,2,"11011 SW 162 TER, 33157",492000,2026-03-13,10775 SW 42 TER,"MIAMI, FL 33165",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=APH%20SERVICES%20USA%20LLC
AR PROPERTY SERVICES LLC,2,"9625 SW 164 ST, 33157",343000,2026-04-02,9901 S 166 ST,"MIAMI, FL 33157",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=AR%20PROPERTY%20SERVICES%20LLC
ARA ABUNDANCE LLC,2,"6440 NW 4 AVE, 33150",525000,2025-08-27,5321 SW 87 AVE,"MIAMI, FL 33165",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ARA%20ABUNDANCE%20LLC
AROD REAL ESTATE LLC,2,"19601 NE 22 AVE, 33180",865200,2025-09-29,19593 NE 10 AVE 4 BAY A,"MIAMI, FL 33179",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=AROD%20REAL%20ESTATE%20LLC
BLUENEST PRINCETON PARK II LLC,2,"24200 SW 124 AVE, 33032",2100000,2025-12-11,6100 WATERFOR DISTRICT DR 370,"MIAMI, FL 33126",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=BLUENEST%20PRINCETON%20PARK%20II%20LLC
BUILT BY WISDOM LLC,2,"4729 SW 4 ST, 33134",350000,2026-04-01,30808 SW 192 CT,"HOMESTEAD, FL 33030",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=BUILT%20BY%20WISDOM%20LLC
CARDENA S INVESTMENT GROUP INC,2,"11881 SW 188 TER, 33177",396000,2026-05-08,8700 SW 106 ST,"MIAMI, FL 33176",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=CARDENA%20S%20INVESTMENT%20GROUP%20INC
CHABAD OF MID MIAMI BEACH INC,2,"725 82 ST, 33141",850000,2025-12-29,6100 PINE TREE DR,"MIAMI BEACH, FL 33140",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=CHABAD%20OF%20MID%20MIAMI%20BEACH%20INC
CONSTRUCTION 4 LIFE LLC,2,"2221 NW 170 ST, 33056",392000,2026-03-02,20101 NW 62 AVE,"HIALEAH, FL 33015",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=CONSTRUCTION%204%20LIFE%20LLC
CY GLOBAL LLC,2,"3599 VISTA CT, 33133",3900000,2026-04-20,3599 VISTA CT,"COCONUT GROVE, FL 33133",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=CY%20GLOBAL%20LLC
D J L AVIATION SOLUTIONS INC,2,"120 NE 175 ST, 33162",529900,2026-05-07,1940 NE 186 DR,"NORTH MIAMI BEACH, FL 33179",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=D%20J%20L%20AVIATION%20SOLUTIONS%20INC
DDV CAPITAL LLC,2,"7971 NW 179 ST, 33015",464000,2026-04-07,7527 W 24 AVE 200,"HIALEAH, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=DDV%20CAPITAL%20LLC
DRG CAPITAL HOLDINGS LLC,2,"2735 SW 77 CT, 33155",590000,2025-12-24,9240 SW 72 ST,"MIAMI, FL 33173",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=DRG%20CAPITAL%20HOLDINGS%20LLC
E&E RE HOLDINGS LLC,2,"2923 NW 16 AVE, 33142",293800,2025-09-11,365 NW 132 AVE,"MIAMI, FL 33182",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=E%26E%20RE%20HOLDINGS%20LLC
EARLY BIRD MANAGEMENT LLC TRS,2,"1941 SW 18 ST, 33145",845000,2026-01-27,7154 LAUREL LN,"MIAMI LAKES, FL 33014",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=EARLY%20BIRD%20MANAGEMENT%20LLC%20TRS
EB FLIPPING LLC,2,"11660 CANAL DR, 33181",820000,2026-01-06,12940 AURALIA RD,"MIAMI, FL 33181",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=EB%20FLIPPING%20LLC
ELITE GROUP PROPERTIES LLC,2,"9900 NW 25 AVE, 33147",286000,2026-01-01,304 INDIAN TRACE STE 448,"WESTON, FL 33326",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ELITE%20GROUP%20PROPERTIES%20LLC
FLHIA3831W05 LLC,2,"102 W 27 ST, 33010",410000,2026-03-12,2296 W 68 ST,"HIALEAH, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=FLHIA3831W05%20LLC
FLORIDA FLIP SOLUTION LLC,2,"2101 NW 93 TER, 33147",375000,2026-04-23,10813 NW 84 ST,"DORAL, FL 33178",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=FLORIDA%20FLIP%20SOLUTION%20LLC
FUENTES PROPERTIES GROUP CORP,2,"1128 NW 61 ST, 33127",510000,2026-01-13,5711 SW 12 ST,"MIAMI, FL 33144",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=FUENTES%20PROPERTIES%20GROUP%20CORP
GLENN CAPITAL LLC,2,"1150 NW 51 ST, 33127",343100,2026-03-31,1200 BRICKELL AVE 1950 NO 1229,"MIAMI, FL 33131",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=GLENN%20CAPITAL%20LLC
GUAMA 1920 CORP,2,"18390 SW 200 ST, 33187",1160000,2025-08-27,13620 SW 181 ST,"MIAMI, FL 33177",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=GUAMA%201920%20CORP
HIALEAH INVESTMENT GROUP LLC,2,"971 E 18 ST, 33013",700000,2026-01-16,2125 BISCAYNE BLVD 204 20614,"MIAMI, FL 33137",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=HIALEAH%20INVESTMENT%20GROUP%20LLC
